,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
14218,37121511,Conforto e praticidade na Barra da Tijuca,279223605,Rolland,Barra da Tijuca,-23.01037,-43.429,Espaço Inteiro,499,2,6,1,54
14219,37121797,VISTA MAR CONFORTO E PRIVACIDADE,13664216,Maria Lucia,Copacabana,-22.98103,-43.18939,Espaço Inteiro,600,5,0,25,53
14220,37123055,Em frente ao BRT e próximo ao Rio Centro,279235985,Stella,Recreio dos Bandeirantes,-23.02216,-43.49777,Quarto Inteiro,100,1,0,1,179
14221,37143602,Room in Copacabana beach,24332317,Jean Claude,Copacabana,-22.97378,-43.18579,Quarto Inteiro,1298,5,0,2,83
14222,37146152,Large & Luxurious 3 bds in Ipanema,3746246,Ghizlane,Ipanema,-22.9846,-43.20199,Espaço Inteiro,1129,7,0,9,269
14223,37150693,Confortável 2 quartos a beira da praia (no Next),20478191,Jean-Luc,Barra da Tijuca,-23.00966,-43.33363,Espaço Inteiro,1357,3,21,1,154
14224,37152242,Moderno & Barato & Mais Seguro & Central,163636791,Margarida & Cesar,Copacabana,-22.97633,-43.19012,Espaço Inteiro,50000,1,0,15,365
14225,37154160,Newly refurbished and furnished apartment,279479120,Jorge,Copacabana,-22.96438,-43.19194,Espaço Inteiro,1286,2,16,1,67
14226,37155411,Incrível casa com piscina e fabulosa vista do Rio,2314413,V3,Santa Teresa,-22.92464177209617,-43.1912283924304,Espaço Inteiro,2201,2,63,2,338
14227,37156862,"RIO DE JANEIRO, Barra da Tijuca, frente para o mar",236544452,Sid,Barra da Tijuca,-23.00922,-43.33104,Espaço Inteiro,250,3,11,1,19
14228,37176457,Lapa Casa Hostel - Rock In Rio 2022,271615742,Rita,Santa Teresa,-22.91468,-43.18291,Quarto Compartilhado,136,1,1,2,0
14229,37180913,Private Room Living Room in Copacabana P4 Beach,87392495,Pedro,Copacabana,-22.96936,-43.18982,Quarto Inteiro,179,2,63,1,36
